%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Bede   270
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Columba   6
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	D%C3%A1l_Riata   154
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Great_Britain   384
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Ireland   407
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Isle_of_Man   560
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Monarchy   20
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Orkney   223
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Picts   502
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Scotland   220
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Wales   492
%C3%85land	20th_century   420
%C3%85land	Baltic_Sea   239
%C3%85land	Crimean_War   129
%C3%85land	Currency   502
%C3%85land	Euro   115
%C3%85land	European_Union   29
%C3%85land	Finland   534
%C3%85land	League_of_Nations   71
%C3%85land	List_of_countries_by_system_of_government   243
%C3%85land	Nationality   142
%C3%85land	Parliamentary_system   291
%C3%85land	Police   340
%C3%85land	Russia   231
%C3%85land	Stockholm   329
%C3%85land	Sweden   586
%C3%85land	Time_zone   185
%C3%85land	Tourism   585
%C3%85land	United_Kingdom   228
%C3%85land	World_War_II   343
%C3%89douard_Manet	Absinthe   342
%C3%89douard_Manet	Beer   434
%C3%89douard_Manet	Claude_Monet   350
%C3%89douard_Manet	Diego_Vel%C3%A1zquez   433
%C3%89douard_Manet	Edgar_Allan_Poe   217
%C3%89douard_Manet	France   92
%C3%89douard_Manet	Francisco_Goya   328
%C3%89douard_Manet	Germany   238
%C3%89douard_Manet	Impressionism   251
%C3%89douard_Manet	Italy   165
%C3%89douard_Manet	Landscape   394
%C3%89douard_Manet	Netherlands   143
%C3%89douard_Manet	Painting   585
%C3%89douard_Manet	Paris   569
%C3%89douard_Manet	Photography   208
%C3%89douard_Manet	Raphael   486
%C3%89douard_Manet	Renaissance   84
%C3%89douard_Manet	Sweden   173
%C3%89douard_Manet	United_States_dollar   419
%C3%89douard_Manet	Washington%2C_D.C.   91
%C3%89ire	Canada   417
%C3%89ire	English_language   497
%C3%89ire	George_VI_of_the_United_Kingdom   383
%C3%89ire	Ireland   156
%C3%89ire	Northern_Ireland   63
%C3%89ire	Ottawa   111
%C3%89ire	Republic_of_Ireland   77
%C3%89ire	United_Kingdom   249
%C3%93engus_I_of_the_Picts	D%C3%A1l_Riata   31
%C3%93engus_I_of_the_Picts	Durham   306
%C3%93engus_I_of_the_Picts	England   592
%C3%93engus_I_of_the_Picts	Great_Britain   373
%C3%93engus_I_of_the_Picts	Ireland   75
%C3%93engus_I_of_the_Picts	Lion   277
%C3%93engus_I_of_the_Picts	Mercia   141
%C3%93engus_I_of_the_Picts	Scotland   293
%C3%93engus_I_of_the_Picts	Viking   306
%C3%93engus_I_of_the_Picts	York   470
%E2%82%AC2_commemorative_coins	Athens   467
%E2%82%AC2_commemorative_coins	Atlantic_Ocean   557
%E2%82%AC2_commemorative_coins	Austria   34
%E2%82%AC2_commemorative_coins	Belgium   196
%E2%82%AC2_commemorative_coins	Berlin   35
%E2%82%AC2_commemorative_coins	Brussels   19
%E2%82%AC2_commemorative_coins	Cathedral_of_Magdeburg   164
%E2%82%AC2_commemorative_coins	Cereal   180
%E2%82%AC2_commemorative_coins	Christopher_Columbus   441
%E2%82%AC2_commemorative_coins	Cologne   248
%E2%82%AC2_commemorative_coins	Comet   353
%E2%82%AC2_commemorative_coins	Dresden   260
%E2%82%AC2_commemorative_coins	European_Union   276
%E2%82%AC2_commemorative_coins	Finland   169
%E2%82%AC2_commemorative_coins	France   156
%E2%82%AC2_commemorative_coins	Galileo_Galilei   58
%E2%82%AC2_commemorative_coins	Germany   261
%E2%82%AC2_commemorative_coins	Greece   220
%E2%82%AC2_commemorative_coins	Hamburg   105
%E2%82%AC2_commemorative_coins	Harold_Macmillan   339
%E2%82%AC2_commemorative_coins	Heraldry   405
%E2%82%AC2_commemorative_coins	History   136
%E2%82%AC2_commemorative_coins	Ireland   581
%E2%82%AC2_commemorative_coins	Italy   332
%E2%82%AC2_commemorative_coins	Luxembourg   445
%E2%82%AC2_commemorative_coins	Maize   55
%E2%82%AC2_commemorative_coins	Miguel_de_Cervantes   9
%E2%82%AC2_commemorative_coins	Monaco   587
%E2%82%AC2_commemorative_coins	Munich   284
%E2%82%AC2_commemorative_coins	Netherlands   251
%E2%82%AC2_commemorative_coins	Numismatics   392
%E2%82%AC2_commemorative_coins	Nutrition   150
%E2%82%AC2_commemorative_coins	Pope_John_Paul_II   207
%E2%82%AC2_commemorative_coins	Portugal   362
%E2%82%AC2_commemorative_coins	Rice   346
%E2%82%AC2_commemorative_coins	San_Marino   179
%E2%82%AC2_commemorative_coins	Sanssouci   317
%E2%82%AC2_commemorative_coins	Soviet_Union   511
%E2%82%AC2_commemorative_coins	Spain   359
%E2%82%AC2_commemorative_coins	Suffrage   158
%E2%82%AC2_commemorative_coins	Turin   94
%E2%82%AC2_commemorative_coins	United_Kingdom   111
%E2%82%AC2_commemorative_coins	United_Nations   418
%E2%82%AC2_commemorative_coins	United_States   306
%E2%82%AC2_commemorative_coins	Vatican_City   217
%E2%82%AC2_commemorative_coins	Wheat   510
%E2%82%AC2_commemorative_coins	Zeus   364
10th_century	11th_century   478
10th_century	9th_century   65
10th_century	Algeria   469
10th_century	Beer   152
10th_century	Black_Sea   406
10th_century	Byzantine_Empire   541
10th_century	Dark_Ages   132
10th_century	Dublin   138
10th_century	France   386
10th_century	Germany   124
10th_century	Great_Moravia   83
10th_century	India   308
10th_century	Italy   408
10th_century	Khazars   334
10th_century	Lion   99
10th_century	Maya_civilization   495
10th_century	Mexico   541
10th_century	Monarchy   461
10th_century	Myanmar   176
10th_century	Philippines   55
10th_century	Poland   178
10th_century	Scotland   22
10th_century	Solar_System   414
10th_century	Sweden   272
10th_century	Time   53
10th_century	Viking   462
11th_century	10th_century   25
11th_century	12th_century   359
11th_century	13th_century   14
11th_century	14th_century   535
11th_century	15th_century   59
11th_century	16th_century   428
11th_century	17th_century   537
11th_century	18th_century   464
11th_century	19th_century   581
11th_century	1st_century   278
11th_century	1st_century_BC   405
11th_century	20th_century   48
11th_century	21st_century   416
11th_century	2nd_century   126
11th_century	3rd_century   172
11th_century	4th_century   499
11th_century	5th_century   434
11th_century	6th_century   517
11th_century	7th_century   232
11th_century	8th_century   469
11th_century	9th_century   347
11th_century	Battle_of_Hastings   109
11th_century	Byzantine_Empire   329
11th_century	Canute_the_Great   523
11th_century	China   164
11th_century	Crusades   443
11th_century	Dark_Ages   546
11th_century	Domesday_Book   515
11th_century	East-West_Schism   114
11th_century	Edward_the_Confessor   535
11th_century	England   376
11th_century	First_Crusade   139
11th_century	France   293
11th_century	Ghana   390
11th_century	India   10
11th_century	Jerusalem   288
11th_century	Leif_Ericson   217
11th_century	Macbeth_of_Scotland   483
11th_century	Mauritania   152
11th_century	Myanmar   133
11th_century	Nigeria   160
11th_century	Norman_conquest_of_England   557
11th_century	North_America   182
11th_century	Novel   513
11th_century	Portugal   18
11th_century	Time   290
11th_century	Viking   411
11th_century	William_I_of_England   452
12th_century	10th_century   206
12th_century	11th_century   43
12th_century	13th_century   320
12th_century	14th_century   553
12th_century	15th_century   88
12th_century	16th_century   585
12th_century	17th_century   412
12th_century	18th_century   252
12th_century	19th_century   428
12th_century	1st_century   293
12th_century	1st_century_BC   102
12th_century	20th_century   478
12th_century	21st_century   227
12th_century	2nd_century   478
12th_century	3rd_century   554
12th_century	4th_century   456
12th_century	5th_century   203
12th_century	6th_century   500
12th_century	7th_century   144
12th_century	8th_century   357
12th_century	9th_century   318
12th_century	Angkor_Wat   232
12th_century	Croatia   490
12th_century	England   478
12th_century	France   124
12th_century	Francis_of_Assisi   7
12th_century	Frederick_II%2C_Holy_Roman_Emperor   326
12th_century	Genghis_Khan   142
12th_century	Henry_II_of_England   298
12th_century	Hungary   137
12th_century	Iceland   594
12th_century	India   440
12th_century	Iran   116
12th_century	Ireland   313
12th_century	Mongol_Empire   329
12th_century	Paris   204
12th_century	Portugal   233
12th_century	Richard_I_of_England   76
12th_century	Saladin   392
12th_century	Second_Crusade   597
12th_century	Serbia   369
12th_century	Sweden   495
12th_century	The_Anarchy   475
12th_century	Thomas_Becket   532
12th_century	Time   308
13th_century	12th_century   364
13th_century	14th_century   323
13th_century	Angola   448
13th_century	Arabic_language   199
13th_century	Asia   403
13th_century	Bantu   140
13th_century	Buddhism   517
13th_century	Byzantine_Empire   34
13th_century	Cambodia   29
13th_century	China   330
13th_century	Dante_Alighieri   158
13th_century	Europe   574
13th_century	Francis_of_Assisi   56
13th_century	Frederick_II%2C_Holy_Roman_Emperor   300
13th_century	Genghis_Khan   207
13th_century	Holy_Roman_Empire   193
13th_century	Hungary   293
13th_century	Iceland   583
13th_century	Iran   245
13th_century	Islam   542
13th_century	Isle_of_Man   247
13th_century	John_of_England   385
13th_century	Laos   175
13th_century	Magna_Carta   323
13th_century	Malaysia   176
13th_century	Marco_Polo   171
13th_century	Mongol_Empire   27
13th_century	Myanmar   6
13th_century	Norway   582
13th_century	Scotland   559
13th_century	Stockholm   251
13th_century	Thailand   281
13th_century	Thomas_Aquinas   218
13th_century	Time   98
14th_century	13th_century   480
14th_century	15th_century   20
14th_century	Abacus   238
14th_century	Aztec   396
14th_century	Black_Death   55
14th_century	Buddha   203
14th_century	China   62
14th_century	Christianity   213
14th_century	Dante_Alighieri   176
14th_century	Dark_Ages   118
14th_century	Edward_III_of_England   450
14th_century	England   319
14th_century	English_peasants%27_revolt_of_1381   247
14th_century	Europe   142
14th_century	France   302
14th_century	Hundred_Years%27_War   492
14th_century	Ibn_Battuta   20
14th_century	India   549
14th_century	Islam   276
14th_century	Italy   131
14th_century	Lithuania   208
14th_century	Ming_Dynasty   388
14th_century	Niger   302
14th_century	Ottoman_Empire   235
14th_century	Poland   395
14th_century	Pope   220
14th_century	Renaissance   130
14th_century	Singapore   45
14th_century	Time   501
14th_century	Timur   348
14th_century	Washington%2C_D.C.   79
15th_Marine_Expeditionary_Unit	2004_Indian_Ocean_earthquake   317
15th_Marine_Expeditionary_Unit	Afghanistan   368
15th_Marine_Expeditionary_Unit	Australia   317
15th_Marine_Expeditionary_Unit	California   112
15th_Marine_Expeditionary_Unit	East_Timor   359
15th_Marine_Expeditionary_Unit	Famine   456
15th_Marine_Expeditionary_Unit	Indian_Ocean   174
15th_Marine_Expeditionary_Unit	Indonesia   509
15th_Marine_Expeditionary_Unit	Iraq   32
15th_Marine_Expeditionary_Unit	Kuwait   228
15th_Marine_Expeditionary_Unit	Kuwait_City   358
15th_Marine_Expeditionary_Unit	Mogadishu   287
